source,folder,split
old,04_1_2lcs_model_fails_at_shallows,train
old,04_2-2cls_model_fails_at_bright,train
old,04_3-2cls_model_some_hanging,train
old,06_3_still_better_on_land_050,train
old,06_4_dragging_around_better_on_land_050,train
old,hook_dataset_1,train
old,hook_milou_dataset_1,train
old,rosbag2_2026_07_06-13_28_07,train
old,rosbag2_2026_07_06-13_40_15,train
old,run_1,train
old,SamInFunnyPlaces,train
old,SamInFunnyPlaces_video2,train
old,simulation_v2,train
old,video_00_boat_background,train
old,video_01_boat_background_2,train
old,video_02_boat_sam,train
old,video_05_boat_sam_under_2,train
old,video_06_boat_sam_under_3,train
old,video_08_catamaran_boat,train
old,video_09_catamaran_boat_2,train
old,video_12_catamaran_boat_sam_3,train
old,video_13_sam_after1min,train
old,video_18_sam_zoom,train
old,04_4_5cls_model_intermittent_detection,val
old,06_2_better_on_land_than_water,val
old,hook_dataset_2,val
old,hook_milou_dataset_2,val
old,rosbag2_2026_07_06-13_34_51,val
old,video_04_boat_sam_under,val
old,video_10_catamaran_boat_sam,val
old,06_1_detection_on_ground_with_sam_tip,test
old,real_sam,test
old,run_2,test
old,video_03_boat_sam_background,test
old,video_07_boat_water,test
old,video_14_sam_only,test
